post_id,sentence,after,third,treatments,sentiment,factual
post-187187,"I'm not recommending it, but looking through the thread some claimed it reduced their T even further while on trobalt.",,,trobalt (retigabine),neu,yes
post-28665,I rather skip the Ginkgo if it seems it does not help and replace with <20mg of Niacin.,Maybe have a couple of days off the Gingko before starting the Niacin.,,ginkgo (ginkgo),neg,yes
post-68881,"For the record, I do happen to take vit D3 and magnesium daily, and they don't seem to have any affect on my tinnitus.",,,magnesium (magnesium),neg,yes
post-107516,I've personally had no side-effects from keppra and just drunkenness from trobalt.,Hope that helps.,,trobalt (retigabine),neu,yes
post-2501,"I can't speak for everyone, but I suspect that if you put your masking track on, and then ""test"" yourself (can I still hear it?)",you'll always hear it.,"Your brain is extremely good at paying attention to things that worry it, and at this early stage, you are very worried about it.",masking (masking),neu,yes
post-63227,"If it's not TMJ related, i might ask the ENT for Trobalt, but for some weird reason i just think he won't prescribe it to me..","I don't know how well known Trobalt is in Denmark, even tho i know it can be bought.",".. On the other hand, it could be noise induced T. - i've always been a bit of a party guy D) and went to several festivals and concerts at the front of the pit... but can noise induced T. come a week or 2 after exposure to high sound?",trobalt (retigabine),neu,no
post-127282,"""If these larger clinical trials replicate efficacy of rTMS that has been demonstrated in the present study, then steps should be taken to implement the procedure as a clinical treatment for chronic tinnitus.""","Somewhat surprisingly, a study published last year found that women who consume more caffeine are less likely to have tinnitus.",http://www.medicalnewstoday.com/articles/296828.php,rtms (transcranial stimulation),neu,no
post-116662,I'm thinking of doing that notched therapy but just don't know if it'll be money down the drain...,,,notched (notched music therapy),neu,yes
post-171878,"3) If you have computer and speakers, you can try these excellent masking sounds: TT's audio player: https://www.tinnitustalk.com/audioplayer/ or download free sound generator ‘aire freshener’: http://www.peterhirschberg.com/mysoftware.html or make your own rain sound: http://mynoise.net/NoiseMachines/rainNoiseGenerator.php or search youtube with words like 'tinnitus masking sounds', 'white noise', 'rain sound' etc.",,,masking (masking),neu,no
post-79145,Cost: TRT trainers typically recommend that a professional sound-generating device similar to a hearing aid be worn 24/7.,"These devices are quite expensive, often costing upwards of $2000.",My personal experience is that patients can enrich their own environments with pleasing sound just as effectively and for far less money.,trt (tinnintus retraining therapy),neu,no
post-82167,There must be something to habituation as they are not all downing loads of Trobalt or Xanax (well maybe on the xanax thing but not as likely).,,,trobalt (retigabine),neu,no
post-108882,"With that said, if we are concerned with helping the 9s and 10s now, why not recommend CBT, which has ostensibly a stronger current recommendation from Cochrane than TRT currently does?",,,trt (tinnintus retraining therapy) | cbt (cognitive behavioural therapy),neu,no
post-124596,and he referred me for CBT.,He also gave me Ambien for 10 days so I could get some sleep.,"After that, I just kept putting one foot in front of the other--going to therapy, attending an anxiety workshop, taking the meds and doing relaxation exercises.",cbt (cognitive behavioural therapy),neu,no
post-139883,(Am101 only allows people who've had it no more than 3 months).,I was having a good morning.,Tinnitus was the same but I wasn't bothering me.,am101 (am101),pos,yes
post-178667,I have read that there is a 2 percent chance to get T from using Lexapro.,I would not let my son take that chance.,We'll have to find something else.,lexapro (antidepressant),neg,yes
post-71271,"[Let's ignore ""acute tinnitus"" and AM-101, corticosteroids, etc.",for now]...BUT THERE NEEDS TO BE A HUGE WARNING THERE WHENEVER THAT IS SAID!!!,And this warning for the most part is never there and it bugs the hell out of me...It's insulting and dangerous.,am101 (am101),neg,yes
post-35815,"Studies by Partheniadis-Stumpf, Wedel (placebo-controlled), Mirz, Nakashima, and Teggi separately concluded LLLT failed to treat tinnitus.",A review of randomized controlled clinical trials of LLLT and other alternative therapies to treat tinnitus by Meehan found no difference between laser and placebo.,"In Textbook of Tinnitus,Dr.",lllt (lllt),neg,yes
post-14404,"From my own experience about what you listed, I can say that I agree with you about the Lexapro.",I started taking Lexapro to deal with anxiety surrounding my own tinnitus flare up.,"Sometimes I think the Lexapro makes the tinnitus a little more shrill, but that's a bit of a trade off that I can deal with if it helps me to not concentrate on it and freak out about it so much.",lexapro (antidepressant),neu,yes
post-2727,"Hi, Erik and Calin,   I used to take Natural Calm magnesium powder (magnesium citrate), but recently changed over to ALTA Health Products magnesium chloride tablets.","I was only taking one tablet at night (520 mg), until my chiro suggested I wasn't taking enough.","So, these past few days, I've upped my dose to two to three tablets of the magnesium chloride (taken before bedtime), and I believe it has made a difference in my tinnitus and, in my case, the nervousness/shakiness/restless legs that have accompanied my pulsating tinnitus.",magnesium (magnesium),pos,yes
post-4104,Tinn Man - Congratulations on completing 18 months of TRT!,"I bought my maskers from my audiologist in Highland Park, Illinois.",I'm sure that any audiologist can buy these maskers.,trt (tinnintus retraining therapy),neu,no
post-79811,It did charge me up a bit and sleep was an issue even with remeron and gabapentin.,I feel like a test tube on the verge of cracking.,,remeron (antidepressant) | gabapentin (gabapentin),neg,yes
post-10545,"Basically, AudioNotch is a simple interface for creating notched music/white noise files.","It all can be done manually, too, for free, if one so wants.","I do think AudioNotch is priced quite high for what it does, but then again... it's far from the hundreds of snake oils there are out there for tinnitus.",notched (notched music therapy) | audionotch (notched music therapy),neu,no
post-26682,"On the other hand, the anxiety is worse so a little masking comes in handy.","I've also opted to wear my earbuds with white noise (violet actually) playing low in loud places, like the grocery store.",If nothing else so I won't further worry about the loud noises causing more damage.,masking (masking),pos,yes
post-90064,"And if you are bound and determined to give LLLT a try (as seems to be the case), then if the cheaper device does not work, eventually you are going to shell out the additional money to try Dr. Wilden's device if not actually visit him in his clinic.","Not saying that Dr. Wilden's device is necessarily going to do the trick for you; just saying that if Dr. Wilden's device doesn't, I assume you'll totally rule out LLLT in your search for relief.",So the real question comes down to how likely is it that you will get the desired result from the cheaper device.,lllt (lllt),neu,no
post-233977,So a week or so ago I began an HBOT treatment that is roughly 4 times a week for what will eventually be 20 dives.,I'm 5 dives in and I understand we'll be at 1.75 Atmospheres for the whole series of treatments.,"I've had a number of health benefits already, but the first one I noticed was the tinnitus decreasing dramatically.",hbot (hyperbaric oxygen therapy),pos,yes
post-88441,"I think what people might be getting at is that if you don't have an opinion on how LLLT affects hearing, then it lessens the value of any thoughts you might have about LLLT for tinnitus.","Again, the idea is that if LLLT improves hearing or repairs hair cells, that gives credence to the possibility that it could improve tinnitus since tinnitus is often the result of damaged hearing.",Of course I'm extremely skeptical that it works effectively for either one of those.,lllt (lllt),neg,yes
post-64416,"Progress Report Progress Report Date:  Sep 11, 2014 Current Retigabine Dosage:  800mg a day Current Side Effects:  tiredness Current Tinnitus Severity:  1 out of 10 Changes in Tinnitus:  My tinnitus basically doesn't exist.",I still considered myself as having tinnitus after 1 month on the drug.,"After two months in though, I can't hear my tinnitus even when looking for it.",retigabine (retigabine),pos,yes
post-34189,"Hell, if all else fails you could look into checking out the recently started AM-101 trial.",You'd be a perfect candidate for it and I wish it had been around when I first got tinnitus!,I'm 27 though... and I've had it since I was 17.,am101 (am101),pos,no
post-3224,"I mean, what is a difference between those maskers and an mp3 player with white noise?","I know cheap headphones might not be able to reproduce high-freq sounds, but if you get some quality ones, what difference is there?",I'm curious.,maskers (masking),neg,no
post-101641,"Place it on you bed and bingo, off to sleep with comforting, masking sounds.","Since you can walk and it doesn't bother you, good!",it's not that bad.,masking (masking),pos,no
post-49176,"@Savin Abram Magnesium can't hurt, but if your tinnitus is caused by ototoxicity, you'll better want to take NAC supplement, at least 600 day, better if you do 1200mg.",It has been used toprotect ears from chemo drugs and others.,"If you T is recent, what you need is anything that can clear oxidative substances of your ears.",nac (nacetylcysteine) | magnesium (magnesium),pos,no
post-116826,"When I wrote my suicide note,  it was because I just had enough of living with tinnitus, it was too hard...I had tears flowing and I just couldn't handle the strain this was putting on me emotionally and physically, I knew right then and there, my life was coming to a close, but I found out about trobalt and hope came and trobalt saved me.","I know trobalt has a bad rep, but it is a last line treatment.",In that moment it was my last line.,trobalt (retigabine),pos,yes
post-84779,How can you establish the real effect of the AM-101 in that case?,"Also, I have seen some reports of T lowering as a result of time (especially early after onset).",The study results also reported some improvement from the placebo group.,am101 (am101),pos,no
post-2718,"I already take calcium and magnesium combo, so this will be on top of that I think.",Or I could just rub the magnesium oil on my skin for better absorption.,I do have the signs of deficiency at times so this will only make me better!,magnesium (magnesium),neu,no
post-147252,I went for acupuncture today but 1 session won't cut it.,Its deafening,,acupuncture (acupuncture),neu,yes
post-223802,I think audiology could help you with maskers and a little bit of talking therapy to let emotions  out and help you cope better.,Time is a great healer so try to relax and nice outdoor walks when you can to help you.,Chin up duck we are all thinking of you....lots of love glynis,maskers (masking),neu,no
post-55208,So maskers are good.,I'm optimistic for this.,,maskers (masking),pos,no
post-69075,"I slowly tend to believe that autifony will have the solution with the most impact, oral drugs so does trobalt etc show.",All needle stuff is only effective when done within time to eliminate the cochlear aspect.,,trobalt (retigabine),neu,no
post-250333,"I've tried magnesium with other tic and spasm problems with success, but it hasn't helped my ear problem I i.","So perhaps my ear problem is less a spasm problem, and more a neurological one.","Try taking either magnesium citrate or aspartate, balanced with calcium (to avoid the laxative effect of the magnesium).",magnesium (magnesium),neg,yes
post-106500,"you are thinking to commit suicide you are not ""down for"" am-101, trobalt and others What is wrong with you?",you are insane if you kill yourself before trying all the options?!,"honestly... if you are scared of small safe harmless intratympanic injection, you will NEVER kill yourself.",trobalt (retigabine) | am101 (am101),neu,no
post-112737,"Alright, time for an update Day 3 Dosage: 60mg prednisone / morning 3x16mg betaserc 2x25mg stugeron Tinnitus level dropped from 7-8/10 to 4-5 / 10  Good improvement in the ability of masking it.",The volume dropped down to around 20dB from 35dB.,Will continue on the same medication schedule for the coming 7days but the prednisone dosgae will go down to 40mg after the 5th day.,stugeron (cinnarizine) | masking (masking) | prednisone (steroids) | betaserc (betahistine),pos,yes
post-137078,"In my case, trobalt helped get rid of the amplification of hyperacusis, but did not stop the aversion to sounds nor the reactiveness.",Keppra however got rid of the reactiveness and the aversion to sounds.,,trobalt (retigabine),neu,yes
post-235650,I kind of wish I had taken that anti-depressant to start with before I ever got tinnitus.,I think it is much better than SSRI's.,"The only other ""bad"" effect it had on me was it caused me to be very hungry.",antidepressant (antidepressant),pos,yes
post-79298,Hey I found a good mechanism of action statement - Retigabine is thought to work mainly by opening potassium channels that are found on the nerve cells.,This action helps to stabilise the resting electrical activity in the nerves.,It reduces the chances of a burst in electrical activity that can result in a seizure [or tinnitus].,retigabine (retigabine),pos,no
post-17717,"In high doses you get very nasty movement disorders, which does not happen with mirtazapine or Lyrica.",But however Seroquel is highly useful in small doses.,"Seroquel will also cause you to get diabetes, which is another reason I don't like it.",mirtazapine (antidepressant) | lyrica (pregabalin),pos,no
post-161887,Just whatever I could find to mask it or temporarily lower it and kickstart the Prednisone.,It worked.,,prednisone (steroids),pos,yes
post-206919,"It was treated by wearing white noise generators WNG as part of TRT (Tinnitus retraining therapy) That was many years ago and the hyperacusis, sensitivity to sound is completely cured.",Michael,,retraining (tinnintus retraining therapy) | trt (tinnintus retraining therapy),pos,yes
post-97091,"For example, listen to Sound Therapy for a few hours a day, or practice a CBT skill you have learned on a daily basis?",,,cbt (cognitive behavioural therapy),neu,no
post-170221,Also try do some masking if T is bothering you.,Read up as many success stories as you can so you will feel more hopeful and confident that you can get better over time.,"As far as the suffering, the endless ringing, the fear, anxiety, depression and sleeplessness etc., they are all very normal when T is new or when it kicks into another level.",masking (masking),pos,no
post-31681,"These are some of the risks I found online: ""possible complications during HBO therapy include barotraumatic lesions (middle ear, nasal sinuses, inner ear, lung, teeth), oxygen toxicity (central nervous system, lung), confinement anxiety, and ocular effects (myopia, cataract growth).""","followed by the conclusion: ""Patients scheduled for HBO therapy need a careful pre-examination and monitoring.","If safety guidelines are strictly followed, HBO therapy is a modality with an acceptable rate of complications.",hbo (hyperbaric oxygen therapy),neg,no
post-127868,I found an AM-101 dose study paper that said sites using Phenol had longer drum healing times.,It also said that it was not ideal for patient comfort as the drum closure time was longer.,I asked my study doctor before I found this paper and he said more than 50% of their patients drums took longer than a week to close.,am101 (am101),neu,no
post-131306,Im 30 days fresh new with T and only 3 nights of my history includes masking.,U can do it too.,"Go to sleep only when  you are feeling really TIRED, take care.",masking (masking),neu,no
post-72799,"and get the real drug in a blister pack that says GSK Retigabine on it (or another country that we confirm)  by the way I'm also Danny boy, just Sr.",,,retigabine (retigabine),neu,no
post-84519,my doses are pretty high 90mg of mirt with 300 lyrica and 300 seroquel.,"but i guess as long as i am functioning, probably that's what i'll stick to, supplemented with Valdoxan, although it seems like no single drug is good long term.",that's why i'm interested in rotating drugs and not staying on any single one for a long time.,lyrica (pregabalin),neu,yes
post-64805,A higher number of adverse events (88%) was reported when retigabine was associated with levetiracetam.,"With few exceptions (carbamazepine and, to a lesser extent, valproate, levetiracetam, lamotrigine), there were no remarkable differences in specific adverse event reports across differing drug combinations.",Good luck deciding what and who is accurate!,retigabine (retigabine),neu,no
post-908,For chronic tinnitus HBO hasn't been nearly as effective.,It has been reported that less than third of patients benefit from this treatment.,Although controlled studies haven't been carried out.,hbo (hyperbaric oxygen therapy),neg,no
post-82762,Should I try and go for HBOT if it reduces my T in one year.,Anything I can do so I may revert back things for this ear?,@attheedgeofscience @Dr. Nagler @Dr. Charlie  Can you offer some insight on this or suggestions as to what I should do.,hbot (hyperbaric oxygen therapy),neu,no
post-177669,Perhaps the maskers can calm you down.,Right now I am taking a drug called Lamictal and it has helped with depression about the tinnitus quite a bit but I still like my hearing aids with maskers now and then but need them a lot less.,Maybe you could ask your doctor about it.,maskers (masking),pos,no
post-77519,I'm not attributing the lowering of my T to AM-101 until I experience a lowering of volume first thing in the morning.,"To date, I've only had one lower morning of a 5, all other days have been a 6.",,am101 (am101),neu,yes
post-39507,"When you examine research on topics like rTMS, there seems to be a consensus that although auditory and non-auditory sections of the brain are affected, the hub of the brain's maladaptive plasticity emanates from the auditory cortex.","Correcting the cochlea will starve the auditory cortex of its input, which may create a domino affect on other brain structures.",Please correct me if I'm wrong or elaborate on any of these ideas!,rtms (transcranial stimulation),neu,no
post-71042,Please confirm to me @attheedgeofscience and anyone else who has been following this closely that LLLT cannot cause permanent T spike.,"If there are no risks, only possible benefits, then I am all for it.","If that does not help, then stem cell therapy will follow ...  Time for a cup of tea.",lllt (lllt),pos,no
post-60174,"TRT only says you should have sound around you 24/7, not necessarily WNGs.",,,trt (tinnintus retraining therapy),neu,no
post-113777,"If you read both the WBUR news release, and the underlying study in detail, you'll see that: The method of suppressing tinnitus through the use of sound is not masking; for decades, researchers know that a loud tone amplified through the ears suppresses the brain activities that generate the phantom sound.","Masking doesn't suppress the brain activity involved in tinnitus, it just covers it up with something else that you focus on.",The distinction is important.,masking (masking),neu,no
post-204990,"Personally, I have a bluetooth hearing aid that I use with my favorite app for masking purposes.",We need to outsmart tinnitus and regain control over our lives.,,masking (masking),neu,yes
post-248993,"There are good sound machine & pillow therapy systems like this one:  https://www.amazon.com/Sound-Oasis-...d-Oasis-Therapy-System-Speakers/dp/B00MH5HKTA 2) If you need masking on the go, try load an ipod with nature sounds or music using itune.","If you have a smart phone, you can download free APPs for soothing or T-masking sounds.",Use wisdom in the use of headphones or earbuds as extended use or excessive volume may hurt your ears.,masking (masking),pos,no
post-138719,"That is another reason why so many horrible drugs are out there and Trobalt being one of them, is now on black list.",,,trobalt (retigabine),neg,no
post-125574,That should tell you something about AM101.,I have not heard any sensational story of improvement thus far in phsae 3.,,am101 (am101),neg,no
post-155144,"maybe try an antidepressant?""",and sent me on my way.,,antidepressant (antidepressant),neu,no
post-106312,I'm glad that some people have success with the LLLT and can't wait to try myself.,"There seems a lot of info to digest from the forum, but sounds like I have two good choices:  1) Dr Wilden in Ibiza, Spain (with Lux Spa Laser) or  2) Anne Harila in Sandvika, Norway (with Lucky Laser) Exactly which one is most effective?",I have a full time job so I don't really have time and money to visit the clinics multiple times.,lllt (lllt),pos,no
post-156020,I take pregabalin already for pain relief and he said that this is one of the drugs he would suggest to take to help minimise the twitching.,"I kind of think he is right, but it usually only happens when I am in bed trying to sleep.","But I have seen videos online and I think, ""surely that's not what's going on?""",pregabalin (pregabalin),neu,no
post-133623,"If I never took trobalt, I would be dead far gone, so sorry I'm glad I took it.","Anyhow, as I keep saying I recommend it as a last line drug, only taken in the most extreme circumstances.","Anyway, my efforts are focused finding something safer than trobalt for people to take.",trobalt (retigabine),pos,yes
